Kernel Type,Training Size,Train Accuracy,Test Accuracy
sigmoid,0.01,0.92,0.931515151515152
sigmoid,0.01,0.76,0.826868686868687
sigmoid,0.01,0.8,0.793131313131313
sigmoid,0.05,0.936,0.914947368421053
sigmoid,0.05,0.88,0.868842105263158
sigmoid,0.05,0.872,0.893684210526316
sigmoid,0.1,0.864,0.841333333333333
sigmoid,0.1,0.86,0.823777777777778
sigmoid,0.1,0.854,0.861111111111111
sigmoid,0.2,0.785,0.7785
sigmoid,0.2,0.816,0.8235
sigmoid,0.2,0.833,0.8425
sigmoid,0.4,0.8085,0.809333333333333
sigmoid,0.4,0.811,0.806666666666666
sigmoid,0.4,0.8885,0.870666666666667
sigmoid,0.6,0.806666666666666,0.811
sigmoid,0.6,0.789,0.781
sigmoid,0.6,0.877333333333333,0.8795
sigmoid,0.8,0.799,0.796
sigmoid,0.8,0.87125,0.862
sigmoid,0.8,0.87525,0.878
linear,0.01,0.92,0.918989898989899
linear,0.01,0.94,0.964848484848485
linear,0.01,0.92,0.927474747474748
linear,0.05,0.984,0.962947368421053
linear,0.05,0.98,0.959368421052631
linear,0.05,0.936,0.967157894736842
linear,0.1,0.982,0.970666666666667
linear,0.1,0.986,0.977111111111111
linear,0.1,0.986,0.980666666666667
linear,0.2,0.984,0.982
linear,0.2,0.987,0.976
linear,0.2,0.979,0.978
linear,0.4,0.985,0.987
linear,0.4,0.984,0.982666666666667
linear,0.4,0.985,0.984666666666667
linear,0.6,0.992666666666667,0.9895
linear,0.6,0.994,0.994
linear,0.6,0.988666666666667,0.983
linear,0.8,0.9905,0.991
linear,0.8,0.99425,0.994
linear,0.8,0.99725,0.998
rbf,0.01,0.98,0.888282828282828
rbf,0.01,0.84,0.789292929292929
rbf,0.01,0.88,0.891111111111111
rbf,0.05,0.94,0.890947368421053
rbf,0.05,0.932,0.905684210526316
rbf,0.05,0.932,0.906105263157895
rbf,0.1,0.94,0.920222222222222
rbf,0.1,0.936,0.923333333333333
rbf,0.1,0.944,0.908
rbf,0.2,0.952,0.94325
rbf,0.2,0.949,0.93675
rbf,0.2,0.957,0.95425
rbf,0.4,0.9675,0.958666666666667
rbf,0.4,0.9685,0.956333333333333
rbf,0.4,0.96,0.951333333333333
rbf,0.6,0.974666666666667,0.964
rbf,0.6,0.974333333333333,0.9755
rbf,0.6,0.969666666666667,0.9635
rbf,0.8,0.973,0.979
rbf,0.8,0.978,0.977
rbf,0.8,0.97125,0.967
poly,0.01,0.8,0.789090909090909
poly,0.01,0.88,0.804646464646465
poly,0.01,0.92,0.821818181818182
poly,0.05,0.88,0.882526315789474
poly,0.05,0.9,0.849684210526316
poly,0.05,0.836,0.831157894736842
poly,0.1,0.822,0.827111111111111
poly,0.1,0.838,0.824666666666667
poly,0.1,0.884,0.874
poly,0.2,0.898,0.8735
poly,0.2,0.857,0.85225
poly,0.2,0.869,0.86875
poly,0.4,0.8975,0.882666666666667
poly,0.4,0.896,0.888666666666667
poly,0.4,0.897,0.892666666666667
poly,0.6,0.882666666666667,0.8885
poly,0.6,0.896666666666667,0.8915
poly,0.6,0.898666666666667,0.896
poly,0.8,0.8965,0.908
poly,0.8,0.90425,0.909
poly,0.8,0.8915,0.907
GaussianNB,0.01,0.96,0.894949494949495
GaussianNB,0.01,0.9,0.963232323232323
GaussianNB,0.01,0.88,0.882020202020202
GaussianNB,0.05,0.924,0.899578947368421
GaussianNB,0.05,0.92,0.908842105263158
GaussianNB,0.05,0.912,0.896842105263158
GaussianNB,0.1,0.93,0.915777777777778
GaussianNB,0.1,0.932,0.946222222222222
GaussianNB,0.1,0.902,0.924888888888889
GaussianNB,0.2,0.927,0.913
GaussianNB,0.2,0.942,0.918
GaussianNB,0.2,0.917,0.92125
GaussianNB,0.4,0.9305,0.926666666666666
GaussianNB,0.4,0.915,0.913
GaussianNB,0.4,0.9145,0.923
GaussianNB,0.6,0.915333333333333,0.9235
GaussianNB,0.6,0.919666666666667,0.923
GaussianNB,0.6,0.93,0.92
GaussianNB,0.8,0.9165,0.907
GaussianNB,0.8,0.92075,0.917
GaussianNB,0.8,0.90325,0.918
MultinonialNB,0.01,0.76,0.84
MultinonialNB,0.01,0.86,0.82969696969697
MultinonialNB,0.01,0.84,0.817575757575758
MultinonialNB,0.05,0.764,0.811368421052632
MultinonialNB,0.05,0.816,0.816421052631579
MultinonialNB,0.05,0.816,0.827368421052631
MultinonialNB,0.1,0.812,0.835555555555556
MultinonialNB,0.1,0.796,0.814
MultinonialNB,0.1,0.812,0.805111111111111
MultinonialNB,0.2,0.817,0.799
MultinonialNB,0.2,0.804,0.80025
MultinonialNB,0.2,0.849,0.83525
MultinonialNB,0.4,0.8345,0.839
MultinonialNB,0.4,0.824,0.819333333333333
MultinonialNB,0.4,0.818,0.81
MultinonialNB,0.6,0.833,0.8075
MultinonialNB,0.6,0.817666666666667,0.8215
MultinonialNB,0.6,0.810333333333333,0.8
MultinonialNB,0.8,0.81975,0.841
MultinonialNB,0.8,0.81675,0.804
MultinonialNB,0.8,0.82325,0.816
